"id"	"name"	"long"	"lat"	"ville"	"feature"	"value"
"773602071"	"Les Parisiens"	2.354882	48.8680162	"Paris"	"amenity"	"bar"
"773628234"	NA	2.3275466	48.7313392	"Paris"	"amenity"	"bar"
"774899540"	"Le Relax"	2.4279661	48.8024236	"Paris"	"amenity"	"bar"
"775732044"	"Café de la Paix"	2.4190239	48.805278	"Paris"	"amenity"	"bar"
"775732056"	"Café le square"	2.4201481	48.8049122	"Paris"	"amenity"	"bar"
"775732058"	"Brasserie de l'Hôtel de Ville"	2.4196971	48.8055803	"Paris"	"amenity"	"bar"
"776938194"	"Le Tennessee"	2.3390379	48.8537741	"Paris"	"amenity"	"bar"
"778220091"	"La Rhumerie"	2.3355231	48.853395	"Paris"	"amenity"	"bar"
"787338346"	"La grosse bouteille"	2.3728143	48.8602777	"Paris"	"amenity"	"bar"
"795606539"	"0/Gustave"	2.3564267	48.8707195	"Paris"	"amenity"	"bar"
"806010995"	"Tiger"	2.3345667	48.8521181	"Paris"	"amenity"	"bar"
"806100716"	"La Robe & La Mousse"	2.3390451	48.8516446	"Paris"	"amenity"	"bar"
"806114404"	"Bar III"	2.338545	48.8534529	"Paris"	"amenity"	"bar"
"811326704"	"El Tonel"	2.3323292	48.8643001	"Paris"	"amenity"	"bar"
"812129610"	"Le Comptoir du Faubourg"	2.3211802	48.8706806	"Paris"	"amenity"	"bar"
"813394579"	"Elysée Lounge"	2.316952	48.871252	"Paris"	"amenity"	"bar"
"817974703"	"Au clair de lune"	2.347503	48.8869689	"Paris"	"amenity"	"bar"
"819031352"	"Le Seven"	2.3235567	48.8803557	"Paris"	"amenity"	"bar"
"819176199"	"Black Tie"	2.3270121	48.8766444	"Paris"	"amenity"	"bar"
"822951734"	"Le Treilhard Bar"	2.314835	48.8769627	"Paris"	"amenity"	"bar"
"828825713"	"Le Crocodile Vert"	2.2893109	48.835468	"Paris"	"amenity"	"bar"
"829203592"	"L'Écluse"	2.3016632	48.8700655	"Paris"	"amenity"	"bar"
"836354699"	"Aux Ours"	2.3965533	48.8675571	"Paris"	"amenity"	"bar"
"837769005"	"Le Narval"	2.4056082	48.8526933	"Paris"	"amenity"	"bar"
"839922619"	"Titty Twister"	2.3031735	48.8720198	"Paris"	"amenity"	"bar"
"842330788"	"La nébuleuse"	2.2902097	48.7630284	"Paris"	"amenity"	"bar"
"857552673"	"Le Val d'Yerres"	2.4908502	48.715917	"Paris"	"amenity"	"bar"
"867507827"	NA	2.4051356	48.8974719	"Paris"	"amenity"	"bar"
"870139090"	"Le 107"	2.2329196	48.8347343	"Paris"	"amenity"	"bar"
"870147959"	"Brasserie de l'Avenue"	2.2353568	48.8312484	"Paris"	"amenity"	"bar"
"887165255"	"Alfama"	2.2140858	48.8844902	"Paris"	"amenity"	"bar"
"887166084"	"Le Relais des Bergères"	2.2258759	48.885364	"Paris"	"amenity"	"bar"
"887167234"	"Le Cheval Blanc"	2.2210226	48.9106978	"Paris"	"amenity"	"bar"
"887167432"	"La Bergère"	2.2262111	48.8853404	"Paris"	"amenity"	"bar"
"892913317"	"Le Sous Bock"	2.3451379	48.8608729	"Paris"	"amenity"	"bar"
"894713103"	"Le narval"	2.4038197	48.8948135	"Paris"	"amenity"	"bar"
"909529763"	"Le Gandon"	2.3608058	48.8219547	"Paris"	"amenity"	"bar"
"914241249"	"L'Apostrophe"	2.3662628	48.8746858	"Paris"	"amenity"	"bar"
"916588773"	"Café Leon"	2.3534684	48.8903045	"Paris"	"amenity"	"bar"
"916889382"	"Le Renouveau"	2.4966622	48.9427839	"Paris"	"amenity"	"bar"
"918317353"	"Landon Café"	2.3624653	48.8804191	"Paris"	"amenity"	"bar"
"919869826"	"Brasserie de la Gare"	2.4933589	48.9323616	"Paris"	"amenity"	"bar"
"919869922"	"Le Relais"	2.4934737	48.9327222	"Paris"	"amenity"	"bar"
"920623784"	"Le Maximilien"	2.4994756	48.9462281	"Paris"	"amenity"	"bar"
"923269142"	"L'Ormeteau"	2.5063072	48.9430724	"Paris"	"amenity"	"bar"
"923269312"	"Le Rond Point"	2.4940459	48.9359362	"Paris"	"amenity"	"bar"
"925900497"	"Au 421"	2.5155998	48.9137434	"Paris"	"amenity"	"bar"
"925900533"	NA	2.4969056	48.9415704	"Paris"	"amenity"	"bar"
"933859703"	NA	2.3985124	48.8928215	"Paris"	"amenity"	"bar"
"933859711"	NA	2.4861964	48.9185948	"Paris"	"amenity"	"bar"
"933859753"	NA	2.4776651	48.9288157	"Paris"	"amenity"	"bar"
"933859813"	NA	2.4136628	48.9016771	"Paris"	"amenity"	"bar"
"933859835"	NA	2.4348753	48.9117167	"Paris"	"amenity"	"bar"
"951265000"	"Le Soleil de Bagnolet"	2.421497	48.8579822	"Paris"	"amenity"	"bar"
"952341600"	NA	2.3896612	48.8921927	"Paris"	"amenity"	"bar"
"952360288"	"Le Parc"	2.2639292	48.9017303	"Paris"	"amenity"	"bar"
"971476014"	"Le Julyann"	2.3423076	48.8742352	"Paris"	"amenity"	"bar"
"971476082"	"Le Flash"	2.3418014	48.8752057	"Paris"	"amenity"	"bar"
"971476150"	"Au Général la Fayette"	2.3412323	48.8750436	"Paris"	"amenity"	"bar"
"971476164"	"Le Faubourg"	2.3424987	48.8741144	"Paris"	"amenity"	"bar"
"975023635"	"Le Molière"	2.2700634	48.8551767	"Paris"	"amenity"	"bar"
"981370622"	"Home Sweet Home"	2.2403064	48.8312316	"Paris"	"amenity"	"bar"
"985435188"	"Le Refuge"	2.3389104	48.8899959	"Paris"	"amenity"	"bar"
"986907600"	NA	2.4823548	48.8198436	"Paris"	"amenity"	"bar"
"987919341"	"Sanana"	2.2370107	48.8349997	"Paris"	"amenity"	"bar"
"988948075"	NA	2.4011225	48.8910215	"Paris"	"amenity"	"bar"
"988962930"	"Bar des Sports"	2.4909946	48.9281548	"Paris"	"amenity"	"bar"
"989431912"	"Le Carillon"	2.367859	48.871644	"Paris"	"amenity"	"bar"
"990384086"	"Le Louis Blanc"	2.3639112	48.8817018	"Paris"	"amenity"	"bar"
"996567273"	"Café de la Gare"	2.5422351	48.8236075	"Paris"	"amenity"	"bar"
"998015392"	"Opti Bar"	2.5448737	48.8240871	"Paris"	"amenity"	"bar"
"998015450"	"Café de la Paix"	2.5428502	48.8250519	"Paris"	"amenity"	"bar"
"1003217472"	"Au vrai coq du village"	2.3422758	48.809069	"Paris"	"amenity"	"bar"
"1003594237"	"Le Zero Zero"	2.3677993	48.8604905	"Paris"	"amenity"	"bar"
"1007448442"	"Le Centre"	2.542473	48.8272504	"Paris"	"amenity"	"bar"
"1014690183"	"La Fronde"	2.3560654	48.8594585	"Paris"	"amenity"	"bar"
"1015358394"	"Le Galvani"	2.2895992	48.884166	"Paris"	"amenity"	"bar"
"1015830169"	"Bar restaurant Les 3 frères"	2.3536169	48.8875689	"Paris"	"amenity"	"bar"
"1015988209"	"Le Trianon"	2.545801	48.8274248	"Paris"	"amenity"	"bar"
"1016701570"	"Le Chiquito"	2.2365261	48.8362081	"Paris"	"amenity"	"bar"
"1023222092"	"Café Belleville"	2.3748362	48.8710893	"Paris"	"amenity"	"bar"
"1035459722"	"Le Rendez-Vous"	2.3629301	48.9231575	"Paris"	"amenity"	"bar"
"1035787952"	"Oued-Rhiou"	2.3671561	48.8872163	"Paris"	"amenity"	"bar"
"1051785708"	NA	2.3027218	48.9032352	"Paris"	"amenity"	"bar"
"1068630302"	NA	2.3483656	48.895507	"Paris"	"amenity"	"bar"
"1069300523"	"Aux 2 départements"	2.597918	48.9382269	"Paris"	"amenity"	"bar"
"1077712817"	"Le Vizir"	2.3179107	48.9669517	"Paris"	"amenity"	"bar"
"1089280932"	"Le Monico"	2.4942975	48.9312474	"Paris"	"amenity"	"bar"
